שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
אש 00 אגח תל בונד,5110085,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות וללא סימן קריאה,,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.790,0.0400,299.1,26.02.2026,211.23,211.23,‎-0.24,‎-0.19,0.48,6.90,0.34,"תל בונד צמודות,תל בונד שקלי 100",0.35%
הראל קונצרני דולרי,5110150,1,D,"אג""ח בארץ - חברות והמרה",חברות והמרה עם מניות,חברות והמרה עם מניות ללא סימן קריאה,"קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",הראל,יובנק נאמנות,פטורה,1.320,0.0400,16.6,26.02.2026,171.46,171.46,0.47,1.33,‎-1.45,‎-8.54,0.94,"אחר,S&P 500 - NTR,דולר ארה""ב",0.35%
הראל מעורבת,5110176,3,C,"אג""ח בארץ - כללי","אג""ח כללי בארץ - חשיפה מרבית מעל 30% מניות",,,הראל,יובנק נאמנות,פטורה,2.249,0.0400,44.5,26.02.2026,20618.72,20618.72,‎-0.29,1.17,5.35,28.63,1.20,"All-Bond כללי,ת""א 125,MSCI AC WORLD INDEX - RT - NTR ,דולר ארה""ב",0.35%
הראל מדד בינוני ממשלתי,5110192,1,B,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד - עד 10% מניות",,,הראל,מזרחי טפחות נאמנות,פטורה,1.270,0.0400,50.8,26.02.2026,11746.36,11746.36,‎-0.07,‎-0.07,0.36,5.12,0.20,"תל גוב-צמודות 2-5,ת""א 125",0.35%
קסםאקט!תיקקרנללאמנ-אגדישר,5110226,0,C,אגד קרנות,אגד ישראלי,,,קסם,יובנק נאמנות,פטורה,0.000,0.0200,19.4,26.02.2026,166.05,166.05,‎-0.22,‎-0.26,0.41,5.25,0.26,All-Bond כללי,0.35%
קסם אקטיב מדינה -AA ומעלה,5110309,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - ללא מניות",,,קסם,אלמגור-בריטמן נאמנות,פטורה,0.620,0.0400,155.7,26.02.2026,163.44,163.44,‎-0.22,0.11,0.76,6.06,0.24,"תל גוב-שקלי 2-5,תל גוב-צמודות 2-5,אינדקס AA ומעלה מאוזן",0.35%
"הראל אג""ח חו""ל דולר",5110333,0,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,0.790,0.0400,137.4,25.02.2026,688.12,688.12,‎-0.34,0.59,‎-1.75,‎-6.60,0.94,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,דולר ארה""ב",0.35%
הראל כספית נקובה ב-$,5110341,0,D,קרן כספית,"כספית מט""חית עם קונצרני","נקובת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",הראל,מזרחי טפחות נאמנות,פטורה,0.250,0.0200,3862.8,25.02.2026,132.82,132.82,‎-0.45,0.77,‎-2.25,‎-9.28,1.06,אחר,0.1%
הראל מניות דיבידנד,5110374,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,הראל,יובנק נאמנות,פטורה,1.470,0.0400,56.0,26.02.2026,9881.80,9881.80,‎-1.24,0.14,4.33,46.71,2.08,תל דיב,0.35%
קסם אקט כספית נקובה דולר,5110382,0,D,קרן כספית,"כספית מט""חית עם קונצרני","נקובת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,0.250,0.0200,566.5,25.02.2026,127.96,127.96,‎-0.45,0.73,‎-2.31,‎-9.52,1.04,אחר,0.1%
"אנליסט (!) אג""ח",5110523,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות עם סימן קריאה",,אנליסט,מזרחי טפחות נאמנות,פטורה,0.890,0.0300,295.5,26.02.2026,224.42,224.42,‎-0.25,‎-0.63,‎-0.05,5.24,0.30,"אג""ח כללי - קונצרני",0.35%
"הראל מניות חו""ל-נקובה $",5110531,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות חו""ל נקובת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשק חוץ-פטור ממס לתושבי חוץ",הראל,יובנק נאמנות,פטורה,1.810,0.0400,36.5,25.02.2026,349.02,348.98,0.51,‎-0.68,‎-6.31,3.69,1.54,MSCI AC WORLD INDEX - NTR,0.35%
אש תיק השקעות ללא מניות,5110564,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.920,0.0400,95.0,26.02.2026,203.17,203.17,‎-0.22,‎-0.09,0.41,6.28,0.31,All-Bond כללי,0.35%
"איביאי אג""ח ללא מניות",5110580,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות עם סימן קריאה",,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.890,0.0500,191.1,26.02.2026,209.00,209.00,‎-0.21,‎-0.57,0.02,5.92,0.29,All-Bond כללי,0.35%
הראל בונד חול מדורג נקו $,5110655,2,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",הראל,יובנק נאמנות,פטורה,0.970,0.0400,30.0,25.02.2026,257.17,257.17,‎-0.41,0.92,‎-1.58,‎-6.14,0.93,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,S&P 500 - NTR",0.35%
"קסם אקטיב ת""א 90",5110713,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,קסם,יובנק נאמנות,פטורה,2.200,0.0400,252.2,26.02.2026,8925.60,8925.60,‎-0.12,0.95,8.88,49.39,2.69,"ת""א 90",0.35%
"הפניקס קסם אג""ח גלובלי",5110739,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,חייבת,0.850,0.0400,74.4,25.02.2026,807.31,807.31,‎-0.34,0.60,‎-1.33,‎-4.66,0.86,"Markit iBoxx USD Liquid Investment Grade 0-5 - GTR ,דולר ארה""ב",0.35%
"הפניקס קסם ת""א 125",5110788,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,קסם,יובנק נאמנות,פטורה,1.840,0.0400,1040.2,26.02.2026,5241.48,5241.48,‎-0.77,2.22,12.49,66.85,2.23,"ת""א 125",0.35%
קסם אקטיב מניות יתר,5110820,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Small Cap,,קסם,יובנק נאמנות,פטורה,2.840,0.0400,99.0,26.02.2026,2968.55,2968.55,‎-0.19,‎-0.49,3.64,35.43,2.15,יתר מניות,0.35%
"קסם אקטיב מניותחו""לגלובלי",5110838,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,2.220,0.0400,106.2,25.02.2026,1289.24,1289.24,‎-0.07,1.21,0.37,1.99,1.53,"MSCI WORLD INDEX - NTR,דולר ארה""ב",0.35%
קסם אקטיב גלוב,5110879,4,D,לתושבי חוץ בלבד,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $",קסם,יובנק נאמנות,חייבת לתושבי חוץ,2.190,0.0400,9.0,25.02.2026,1345.57,1345.57,0.80,‎-2.05,‎-3.39,0.25,1.42,Russell 3000 - GTR,0.35%
"הראל תיק אג""ח פלוס 10%",5110929,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ועם סימן קריאה","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,מזרחי טפחות נאמנות,פטורה,0.750,0.0400,20.0,25.02.2026,190.88,190.88,‎-0.07,‎-0.14,1.29,9.20,0.27,"All-Bond כללי,ת""א 125,MSCI AC WORLD INDEX - RT - NTR ,דולר ארה""ב",0.35%
אש (00) מדינה צמוד בינוני,5111000,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד - ללא מניות",,,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.690,0.0400,76.1,26.02.2026,152.64,152.64,‎-0.14,‎-0.14,0.10,4.54,0.14,"תל גוב-צמודות 2-5,תל בונד צמודות",0.35%
"הראל אג""ח קונצרני ללא מני",5111059,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות וללא סימן קריאה,,הראל,יובנק נאמנות,פטורה,0.590,0.0400,48.3,26.02.2026,4670.93,4670.93,‎-0.33,‎-0.78,0.04,4.60,0.29,תל בונד מאגר,0.35%
הראל אג חול מניות 20% מטח,5111117,2,B,"אג""ח בחו""ל","אג""ח מוגנת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,0.740,0.0400,562.0,25.02.2026,893.27,893.27,0.03,0.71,1.05,6.99,0.25,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,S&P 500 - NTR",0.35%
הראל מניות ערך BuySide,5111133,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,הראל,יובנק נאמנות,פטורה,1.590,0.0400,750.1,26.02.2026,48591.25,48591.25,‎-0.86,0.69,6.90,62.93,2.13,"ת""א All-Share ",0.35%
"הראל חו""ל סקטורים בצמיחה",5111190,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,1.950,0.0400,93.1,25.02.2026,3273.51,3273.35,1.21,‎-8.24,‎-11.95,‎-11.53,2.00,"Russell 3000 Growth In - GTR,דולר ארה""ב",0.35%
"הראל תיק אג""ח + 20%",5111216,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 20% מניות",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,1.690,0.0400,93.7,25.02.2026,3067.75,3067.75,‎-0.41,‎-0.37,0.61,6.15,0.40,"All-Bond כללי,ת""א 125,MSCI AC WORLD INDEX - RT - NTR ,דולר ארה""ב",0.35%
איביאי מחקה תלגוב-צמוד2-5,5111240,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד",צמודות מדד ממשלתיות - בינוני,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.150,0.0250,107.9,26.02.2026,144.96,144.96,‎-0.08,‎-0.12,0.33,4.56,0.10,תל גוב-צמודות 2-5,לא נגבית עמלת הפצה
"איביאי מחקה תל גוב-מק""מ",5111265,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות","מק""מ",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.090,0.0250,54.8,26.02.2026,129.11,129.11,0.01,0.30,0.69,4.53,0.00,"תל גוב-מק""מ",לא נגבית עמלת הפצה
