שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
מיטב בנקים פי 3,5139860,6,A,ממונפות ואסטרטגיות,ממונפות בסיכון גבוה,,הקרן הינה קרן ממונפת,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.500,0.0500,74.4,26.02.2026,276.93,276.52,‎-9.58,‎-2.10,17.11,,9.19,"ת""א בנקים-5",0.35%
קסם BRRNY KTF,5139878,4,D,נכסים דיגיטליים,Bitcoin,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן כשרה",קסם,הרמטיק נאמנות,פטורה,0.200,0.0300,28.3,25.02.2026,62.07,62.07,6.87,‎-17.77,‎-23.31,‎-43.61,4.66,"CME CF Bitcoin Reference Rate - New York Variant,דולר ארה""ב",לא נגבית עמלת הפצה
MTF מח Indxx Bitcoin Rfr,5139886,4,D,נכסים דיגיטליים,Bitcoin,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0300,21.3,25.02.2026,62.25,62.25,6.89,‎-17.76,‎-23.32,‎-43.47,4.67,"Indxx Bitcoin Reference Index,דולר ארה""ב",לא נגבית עמלת הפצה
קסם BDLRTNTR KTF,5139894,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",REIT &  Real Estate,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,אלמגור-בריטמן נאמנות,פטורה,0.800,0.0300,5.8,25.02.2026,12601.85,12601.85,‎-0.54,3.49,7.45,2.03,2.14,"BlueStar Data Center and Logistics Real Estate,דולר ארה""ב",לא נגבית עמלת הפצה
קסם SP/TSX 60 KTF,5139902,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר קנדי",קסם,מזרחי טפחות נאמנות,פטורה,0.600,0.0300,12.6,25.02.2026,5004.16,5004.16,0.48,2.25,2.96,16.11,1.15,"S&P/TSX60 - NTR,דולר קנדי",לא נגבית עמלת הפצה
איביאי מחקה S&P Bitcoin,5139910,4,D,נכסים דיגיטליים,Bitcoin,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.200,0.0230,42.1,25.02.2026,61.97,61.97,6.88,‎-17.78,‎-23.32,‎-43.62,4.68,"S&P Bitcoin Index,דולר ארה""ב",לא נגבית עמלת הפצה
מור מחקה S&P Bitcoin,5139928,4,D,נכסים דיגיטליים,Bitcoin,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מור קרנות,יובנק נאמנות,פטורה,0.200,0.0200,8.7,25.02.2026,60.42,60.42,6.86,‎-17.83,‎-23.42,‎-44.78,4.69,"S&P Bitcoim Futures Daily Roll Index,דולר ארה""ב",לא נגבית עמלת הפצה
"ATF מחקה ת""א-20",5139936,4,A,מניות בארץ,מניות לפי שווי שוק,Large Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אנליסט,מזרחי טפחות נאמנות,פטורה,0.200,0.0150,6.6,26.02.2026,157.49,157.49,‎-1.54,0.27,10.89,59.31,1.79,"ת""א-20",לא נגבית עמלת הפצה
"ATF מחקה ת""א-50 ריאלי",5139944,4,A,מניות בארץ,מניות לפי שווי שוק,Mid Cap & Large,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אנליסט,מזרחי טפחות נאמנות,פטורה,0.200,0.0150,6.0,26.02.2026,151.82,151.82,‎-0.49,2.00,10.58,54.38,1.98,"ת""א-50 ריאלי",לא נגבית עמלת הפצה
"ATF מחקה ת""א-200",5139951,4,A,מניות בארץ,מניות לפי שווי שוק,All Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אנליסט,מזרחי טפחות נאמנות,פטורה,0.200,0.0150,52.8,26.02.2026,152.63,152.63,‎-0.55,0.24,6.75,52.95,2.46,"ת""א-200",לא נגבית עמלת הפצה
DCMSי תיק השק גלב עד30%מנ,5139969,2,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,מזרחי טפחות נאמנות,פטורה,0.900,0.0400,14.8,25.02.2026,94.37,94.37,‎-0.15,0.15,‎-1.48,,0.88,"Markit iBoxx USD Liquid Investment Grade 0-5 - GTR ,S&P 500 - NTR",0.35%
קסם SPRFI02 KTF,5139977,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",קסם,הרמטיק נאמנות,פטורה,0.750,0.0300,7.6,25.02.2026,95.86,95.86,0.04,‎-0.07,‎-1.82,‎-4.19,0.99,"Cboe S&P 500 15% Buffer FEB IC,דולר ארה""ב",לא נגבית עמלת הפצה
הראל מחקה תלבונד תשוא צמו,5139985,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הראל,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,19.1,26.02.2026,104.46,104.46,‎-0.34,‎-1.29,‎-1.00,4.37,0.25,תל בונד תשואות צמודות,לא נגבית עמלת הפצה
"הראל מחקה Hotels, R&Cr ממ",5139993,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Travel,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",הראל,מזרחי טפחות נאמנות,פטורה,0.400,0.0250,0.7,25.02.2026,104.26,104.26,0.01,‎-6.38,‎-3.44,,2.83,"S&P Hotels, Resorts & Cruise lines Select Industry 15% FMC Capped",לא נגבית עמלת הפצה
"הראל מחקה ת""א- ביטוח",5140009,4,A,מניות בארץ,מניות לפי ענפים,ביטוח,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,הראל,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,117.8,26.02.2026,249.38,249.38,‎-1.40,7.32,16.99,,4.66,"ת""א-ביטוח",לא נגבית עמלת הפצה
תכלית TTF מש מניות מקומיו,5140025,4,0,מניות בארץ,מניות בארץ קרן משולבת,,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,אלמגור-בריטמן נאמנות,פטורה,0.000,0.0200,26.6,26.02.2026,53879.47,53879.47,‎-1.54,‎-0.17,6.40,,1.80,"ת""א 125,אינדקס בנקים ישראל,תל דיב,ת""א נדל""ן,ת""א-SME60",לא נגבית עמלת הפצה
אקורד (4B) מניות,5140033,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,איילון,יובנק נאמנות,פטורה,1.450,0.0400,9.5,26.02.2026,130.85,130.85,‎-0.77,‎-4.62,‎-1.07,,2.13,מניות כללי,0.35%
מגדל מניות שבבים גלובלי,5140041,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מגדל,מזרחי טפחות נאמנות,פטורה,0.500,0.0400,9.2,25.02.2026,151.25,151.25,1.24,1.80,17.87,48.85,3.54,"אינדקס שבבים ארה""ב Top10,דולר ארה""ב",0.35%
קסם KTF תלבונד צ 1-3,5140058,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה - קצר,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קסם,מזרחי טפחות נאמנות,פטורה,0.000,0.0250,84.9,26.02.2026,104.53,104.53,‎-0.14,‎-0.31,0.01,,0.18,תל בונד-צמודות 1-3,לא נגבית עמלת הפצה
איביאי מחקה נדלןלמגורישרא,5140066,4,A,מניות בארץ,מניות לפי ענפים,"נדל""ן ובנייה",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.000,0.0200,17.1,26.02.2026,103.35,103.35,‎-0.28,1.75,4.69,,4.13,אינדקס נדל''ן למגורים בישראל,לא נגבית עמלת הפצה
י.ל מחקה קונצרני צמד מחמ3,5140074,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה - בינוני,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,ילין לפידות,יובנק נאמנות,פטורה,0.190,0.0200,0.5,26.02.2026,103.98,103.98,‎-0.16,‎-0.35,‎-0.08,,0.21,"quabify קונצרני צמוד מח""מ 3 קבוע",לא נגבית עמלת הפצה
י.ל מחקה קונצרני צמד מחמ4,5140082,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה - בינוני,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,ילין לפידות,יובנק נאמנות,פטורה,0.190,0.0200,0.4,26.02.2026,104.57,104.57,‎-0.17,‎-0.37,‎-0.14,,0.23,"quabify קונצרני צמוד מח""מ 4 קבוע",לא נגבית עמלת הפצה
י.ל מחקה קונצרני שקל מחמ3,5140090,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה - בינוני,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,ילין לפידות,יובנק נאמנות,פטורה,0.190,0.0200,0.5,26.02.2026,105.53,105.53,‎-0.23,0.09,0.89,,0.28,"quabify קונצרני שקלי מח""מ 3 קבוע",לא נגבית עמלת הפצה
י.ל מחקה קונצרני שקל מחמ4,5140108,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה - בינוני,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,ילין לפידות,יובנק נאמנות,פטורה,0.190,0.0200,2.4,26.02.2026,106.24,106.24,‎-0.26,0.20,1.06,,0.32,"quabify קונצרני שקלי מח""מ 4 קבוע",לא נגבית עמלת הפצה
ATF תל בונד-צמודות A,5140116,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אנליסט,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,1.9,26.02.2026,104.12,104.12,‎-0.31,‎-0.99,‎-0.70,,0.32,תל בונד-צמודות A,לא נגבית עמלת הפצה
ATF תל בונדתשואות צמודות,5140124,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,אנליסט,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,97.0,26.02.2026,103.74,103.74,‎-0.34,‎-1.31,‎-1.02,,0.35,תל בונד תשואות צמודות,לא נגבית עמלת הפצה
הראל מחקה SP500 Momen ממ,5140132,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",הראל,מזרחי טפחות נאמנות,פטורה,0.500,0.0250,128.7,25.02.2026,120.98,120.98,1.43,‎-0.22,0.77,,1.92,S&P 500 Momentum,לא נגבית עמלת הפצה
MTF מח WorldTop100iND מד,5140140,4,D,"מניות בחו""ל","מניות גלובליות - מנוטרלת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0300,12.4,25.02.2026,120.65,120.65,‎-0.78,0.56,2.41,,1.31,World Top 100 iNDEX,לא נגבית עמלת הפצה
"MTF מח ת""א 90 ובנקים",5140157,4,A,מניות בארץ,מניות לפי שווי שוק,Mid Cap & Large,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0300,13.4,26.02.2026,145.15,145.15,‎-1.25,‎-1.26,4.43,,2.51,"ת""א 90 ובנקים",לא נגבית עמלת הפצה
MTF מח MSCI World מד,5140165,4,D,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",גלובלי- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן כשרה",מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0300,73.3,25.02.2026,129.14,129.14,‎-0.26,0.80,2.36,,1.30,MSCI WORLD INDEX - NTR,לא נגבית עמלת הפצה
MTF מח אנד כלכ ישראל 125,5140199,4,A,מניות בארץ,מניות לפי שווי שוק,Mid Cap & Large,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,123.2,26.02.2026,163.90,163.90,‎-0.91,1.98,7.96,,2.66,אינדקס כלכלת ישראל 125,לא נגבית עמלת הפצה
MTF מח Indx US 2000Profממ,5140207,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מגדל,מזרחי טפחות נאמנות,פטורה,0.500,0.0300,17.0,25.02.2026,106.28,106.28,0.71,0.96,5.58,,,"Indxx US 2000 Profitability Index ",לא נגבית עמלת הפצה
MTF מח BLNConCorEarLeadממ,5140215,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מגדל,מזרחי טפחות נאמנות,פטורה,0.800,0.0300,40.5,25.02.2026,119.29,119.29,0.97,‎-3.34,‎-0.18,,1.59,"Bloomberg New Constructs Core Earnings Leaders INDEX ",לא נגבית עמלת הפצה
אש מחקה AB US TTET5,5140223,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - חשופת מט""ח",Technology,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.500,0.0300,1.0,25.02.2026,115.11,115.11,1.73,‎-6.88,‎-3.31,,2.40,A.B US Top Tech Ex Top 5,לא נגבית עמלת הפצה
תכלית TTF בולט 2029 שקלי,5140231,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.150,0.0300,12.1,26.02.2026,105.92,105.92,‎-0.19,0.02,0.76,,0.26,"תל-בונד בולט 2029 שקלי ",לא נגבית עמלת הפצה
תכלית TTF בולט 10/28 צמוד,5140249,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות צמודות מדד",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.150,0.0300,7.9,26.02.2026,104.01,104.01,‎-0.14,‎-0.30,0.07,,0.17,תל-בונד בולט 10/2028 צמוד,לא נגבית עמלת הפצה
תכלית TTF בולט 2029 ישראל,5140256,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות","אג""ח חברות שקלי וצמוד",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.200,0.0300,9.1,26.02.2026,104.93,104.93,‎-0.20,‎-0.31,0.17,,0.22,"תל-בונד בולט 2029 ישראל ",לא נגבית עמלת הפצה
י.ל מחקה S&P500 MrkLeadממ,5140272,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",ילין לפידות,יובנק נאמנות,פטורה,0.490,0.0200,14.5,25.02.2026,113.04,113.04,0.97,‎-0.82,2.83,,1.49,S&P 500 Market Leaders,לא נגבית עמלת הפצה
י.ל מחקה S&P500 MrkLead,5140280,4,D,"מניות בחו""ל","מניות גיאוגרפי - חשופת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",ילין לפידות,יובנק נאמנות,פטורה,0.490,0.0200,6.7,25.02.2026,99.66,99.66,0.59,‎-0.89,‎-0.12,,1.46,"S&P 500 Market Leaders,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מחקהNuclearEnergמד,5140298,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Alternative / Renewable Energy,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.650,0.0230,329.9,24.02.2026,156.69,156.69,1.71,‎-2.23,20.20,,5.32,Indxx Nuclear Energy Industry Index,לא נגבית עמלת הפצה
איביאי מחקה תא90 C0.8 S60,5140306,4,A,מניות בארץ,מניות לפי שווי שוק,Small Cap & Mid,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.000,0.0150,12.9,26.02.2026,2397.69,2397.69,‎-0.33,‎-2.85,2.26,,1.76,"ת""א-90 ו- CAP 0.8% SME60",לא נגבית עמלת הפצה
איביאי מחקה תל גוב-שקלי,5140314,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות",ריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.000,0.0150,11.3,26.02.2026,5141.46,5141.46,‎-0.33,0.38,1.33,,0.33,תל גוב-שקלי,לא נגבית עמלת הפצה
איביאי מחקה תל גוב-צמוד,5140322,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד",צמודות מדד ממשלתיות - אחר,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.100,0.0150,15.5,26.02.2026,3819.63,3819.63,‎-0.23,‎-0.31,‎-0.16,,0.33,תל גוב-צמודות,לא נגבית עמלת הפצה
איביאי מחקה תל גוב-לאצמוד,5140330,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות",שקליות ממשלתיות -  אחר,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.150,0.0150,22.5,26.02.2026,435.99,435.99,‎-0.22,0.35,1.19,,0.26,תל גוב – לא צמודות,לא נגבית עמלת הפצה
מיטב 15/85 ESG,5140348,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,0.650,0.0300,5.3,26.02.2026,112.63,112.63,‎-0.27,‎-0.12,1.44,,0.35,"All-Bond צמוד,ת""א 125",0.35%
"מיטב אג""ח ESG",5140355,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,0.590,0.0300,5.9,26.02.2026,110.37,110.37,‎-0.24,‎-0.07,0.89,,0.30,All-Bond צמוד,0.35%
קסם TiR US Mo A iN KTF ממ,5140363,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",קסם,אלמגור-בריטמן נאמנות,פטורה,0.700,0.0250,23.0,25.02.2026,121.43,121.43,1.12,0.09,4.42,,1.95,TipRanks US Momentum Analysts iNDEX,לא נגבית עמלת הפצה
אביב 10/90 תיק מ ESG כשרה,5140371,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",קרן כשרה,איילון,יובנק נאמנות,פטורה,0.870,0.0400,25.8,26.02.2026,104.14,104.14,‎-0.24,‎-0.07,0.98,,0.35,"All-Bond כללי,מניות כללי",0.35%
MTF מח אנד כלכ ישראל 90,5140397,4,A,מניות בארץ,מניות לפי שווי שוק,Mid Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,5.9,26.02.2026,161.06,161.06,0.13,1.13,6.92,,3.06,אינדקס כלכלת ישראל 90,לא נגבית עמלת הפצה
אנליסט כספית חיסכון,5140413,0,0,קרן כספית,כספית שקלית,כספית שקלית עם קונצרני,,אנליסט,מזרחי טפחות נאמנות,פטורה,0.120,0.0050,1390.6,26.02.2026,104.17,104.17,0.00,0.28,0.64,,0.00,"תל גוב-מק""מ",0.1%
MTF מח Indx Top10EurDefמא,5140439,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Aerospace & Defense,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",מגדל,מזרחי טפחות נאמנות,פטורה,0.400,0.0300,34.4,25.02.2026,110.67,110.67,‎-0.83,4.24,17.73,,2.52,Indxx Top 10 Europe Defense,לא נגבית עמלת הפצה
"MTF מח ת""א - ביטוח",5140447,4,A,מניות בארץ,מניות לפי ענפים,ביטוח,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מגדל,מזרחי טפחות נאמנות,פטורה,0.000,0.0200,119.3,26.02.2026,240.41,240.41,‎-1.39,7.33,17.00,,4.66,"ת""א-ביטוח",לא נגבית עמלת הפצה
תכלית Ether-Dollar TTF,5140454,4,D,נכסים דיגיטליים,Ethereum,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.500,0.0300,28.4,25.02.2026,100.43,100.43,11.32,‎-25.94,‎-32.27,,7.55,"CME CF Ether – Dollar Reference Rate New York Variant,דולר ארה""ב",לא נגבית עמלת הפצה
איביאי מדורגות A ומעלה,5140462,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.500,0.0300,0.9,26.02.2026,105.16,105.16,‎-0.06,‎-0.42,0.49,,0.28,"אג""ח כללי - קונצרני",0.35%
"אקורד אג""ח ללא מניות",5140470,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.750,0.0400,10.0,26.02.2026,105.96,105.96,‎-0.40,0.16,1.17,,0.39,All-Bond כללי,0.35%
דולפין תיק השקעות גמיש,5140496,4,D,גמישות,,,,איילון,יובנק נאמנות,פטורה,1.200,0.0400,13.4,26.02.2026,102.17,101.66,0.31,‎-2.48,‎-0.26,,1.19,אחר,0.35%
"מיטב ת""א 125 מומנטום",5140504,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,1.050,0.0400,33.5,26.02.2026,185.88,185.88,‎-0.52,3.64,17.73,,2.61,"ת""א 125",0.35%
"קסם KTF אינ אג""ח תשו 100",5140512,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה בסיכון גבוה,,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קסם,הרמטיק נאמנות,פטורה,0.220,0.0250,95.0,26.02.2026,100.31,100.31,‎-0.41,‎-1.69,‎-0.67,,0.39,"אינדקס אג""ח תשואות 100 ",לא נגבית עמלת הפצה
קסם Bullet KTF ישראל 2032,5140520,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות","אג""ח חברות שקלי וצמוד",לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קסם,הרמטיק נאמנות,פטורה,0.220,0.0300,117.5,26.02.2026,106.36,106.36,‎-0.20,‎-0.04,0.60,,0.37,אינדקס Bullet ישראל 2032,לא נגבית עמלת הפצה
קסם Bullet KTF שקלי 2031,5140538,0,0,"אג""ח בארץ - חברות והמרה","אג""ח חברות שקלי",בריבית קבועה,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,קסם,הרמטיק נאמנות,פטורה,0.220,0.0300,35.7,26.02.2026,106.13,106.13,‎-0.24,0.09,0.90,,0.35,אינדקס Bullet שקלי 2031,לא נגבית עמלת הפצה
א.ש מחקה (4A)י S&P 500 ממ,5140546,4,A,"מניות בחו""ל","מניות גיאוגרפי - מנוטרלת מט""ח",אמריקה- שווקים מפותחים,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.000,0.0300,39.7,25.02.2026,123.42,123.42,0.82,‎-0.27,1.48,,1.54,S&P 500 - NTR,לא נגבית עמלת הפצה
פסטרנק שהם 25/75,5140553,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,איילון,מזרחי טפחות נאמנות,פטורה,0.590,0.0400,12.8,26.02.2026,107.88,107.88,‎-0.10,‎-0.35,0.91,,0.43,"All-Bond כללי,מניות כללי",0.35%
הראל מחקה אי תע ביט אי ממ,5140561,4,A,"מניות בחו""ל","מניות לפי ענפים בחו""ל - מנוטרלת מט""ח",Aerospace & Defense,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,לפי מדיניות השקעותיה הקרן הינה קרן מחקה",הראל,מזרחי טפחות נאמנות,פטורה,0.500,0.0250,101.7,25.02.2026,157.84,157.84,‎-0.72,0.85,18.63,,2.17,"אינדקס תעשיות ביטחוניות ארה""ב וישראל",לא נגבית עמלת הפצה
אקהאוס מניות ישראל,5140579,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,איילון,מזרחי טפחות נאמנות,פטורה,1.700,0.0400,23.9,26.02.2026,144.13,144.13,‎-0.44,4.10,15.46,,1.94,"ת""א 125",0.35%
